startDate,endDate,value,duration_hours,sleep_type,date
2024-07-28 23:18:00-04:00,2024-07-29 05:42:00-04:00,HKCategoryValueSleepAnalysisAsleepUnspecified,6.4,HKCategoryValueSleepAnalysisAsleepUnspecified,2024-07-28
2024-07-28 23:18:00-04:00,2024-07-29 05:42:00-04:00,HKCategoryValueSleepAnalysisAsleepUnspecified,6.4,HKCategoryValueSleepAnalysisAsleepUnspecified,2024-07-28
2024-07-29 22:42:00-04:00,2024-07-30 05:41:00-04:00,HKCategoryValueSleepAnalysisAsleepUnspecified,6.983333333333333,HKCategoryValueSleepAnalysisAsleepUnspecified,2024-07-29
2024-07-29 22:42:00-04:00,2024-07-30 05:41:00-04:00,HKCategoryValueSleepAnalysisAsleepUnspecified,6.983333333333333,HKCategoryValueSleepAnalysisAsleepUnspecified,2024-07-29
2024-07-29 22:42:00-04:00,2024-07-30 05:41:00-04:00,HKCategoryValueSleepAnalysisAsleepUnspecified,6.983333333333333,HKCategoryValueSleepAnalysisAsleepUnspecified,2024-07-29
2024-07-30 22:39:00-04:00,2024-07-31 05:41:00-04:00,HKCategoryValueSleepAnalysisAsleepUnspecified,7.033333333333333,HKCategoryValueSleepAnalysisAsleepUnspecified,2024-07-30
2024-07-31 22:53:00-04:00,2024-08-01 04:19:00-04:00,HKCategoryValueSleepAnalysisAsleepUnspecified,5.433333333333334,HKCategoryValueSleepAnalysisAsleepUnspecified,2024-07-31
2024-07-31 22:53:00-04:00,2024-08-01 04:19:00-04:00,HKCategoryValueSleepAnalysisAsleepUnspecified,5.433333333333334,HKCategoryValueSleepAnalysisAsleepUnspecified,2024-07-31
2024-08-02 00:44:00-04:00,2024-08-02 08:55:00-04:00,HKCategoryValueSleepAnalysisAsleepUnspecified,8.183333333333334,HKCategoryValueSleepAnalysisAsleepUnspecified,2024-08-02
2024-08-03 05:48:00-04:00,2024-08-03 11:11:00-04:00,HKCategoryValueSleepAnalysisAsleepUnspecified,5.383333333333334,HKCategoryValueSleepAnalysisAsleepUnspecified,2024-08-03
2024-08-05 05:23:00-04:00,2024-08-05 11:11:00-04:00,HKCategoryValueSleepAnalysisAsleepUnspecified,5.8,HKCategoryValueSleepAnalysisAsleepUnspecified,2024-08-05
2024-08-05 23:59:00-04:00,2024-08-06 06:04:00-04:00,HKCategoryValueSleepAnalysisAsleepUnspecified,6.083333333333333,HKCategoryValueSleepAnalysisAsleepUnspecified,2024-08-05
2024-08-05 23:59:00-04:00,2024-08-06 06:04:00-04:00,HKCategoryValueSleepAnalysisAsleepUnspecified,6.083333333333333,HKCategoryValueSleepAnalysisAsleepUnspecified,2024-08-05
2024-08-06 23:09:00-04:00,2024-08-07 05:57:00-04:00,HKCategoryValueSleepAnalysisAsleepUnspecified,6.8,HKCategoryValueSleepAnalysisAsleepUnspecified,2024-08-06
2024-08-06 23:09:00-04:00,2024-08-07 05:57:00-04:00,HKCategoryValueSleepAnalysisAsleepUnspecified,6.8,HKCategoryValueSleepAnalysisAsleepUnspecified,2024-08-06
2024-08-09 00:59:00-04:00,2024-08-09 08:54:00-04:00,HKCategoryValueSleepAnalysisAsleepUnspecified,7.916666666666667,HKCategoryValueSleepAnalysisAsleepUnspecified,2024-08-09
2024-08-10 03:42:00-04:00,2024-08-10 11:35:00-04:00,HKCategoryValueSleepAnalysisAsleepUnspecified,7.883333333333334,HKCategoryValueSleepAnalysisAsleepUnspecified,2024-08-10
2024-08-11 03:02:00-04:00,2024-08-11 11:16:00-04:00,HKCategoryValueSleepAnalysisAsleepUnspecified,8.233333333333333,HKCategoryValueSleepAnalysisAsleepUnspecified,2024-08-11
2024-08-12 02:08:00-04:00,2024-08-12 08:55:00-04:00,HKCategoryValueSleepAnalysisAsleepUnspecified,6.783333333333333,HKCategoryValueSleepAnalysisAsleepUnspecified,2024-08-12
2024-08-13 00:16:00-04:00,2024-08-13 05:48:00-04:00,HKCategoryValueSleepAnalysisAsleepUnspecified,5.533333333333333,HKCategoryValueSleepAnalysisAsleepUnspecified,2024-08-13
2024-08-13 23:12:00-04:00,2024-08-14 05:46:00-04:00,HKCategoryValueSleepAnalysisAsleepUnspecified,6.566666666666666,HKCategoryValueSleepAnalysisAsleepUnspecified,2024-08-13
2024-08-15 05:01:00-04:00,2024-08-15 08:58:00-04:00,HKCategoryValueSleepAnalysisAsleepUnspecified,3.95,HKCategoryValueSleepAnalysisAsleepUnspecified,2024-08-15
2025-08-20 01:23:05-04:00,2025-08-20 01:36:35-04:00,HKCategoryValueSleepAnalysisAsleepCore,0.225,HKCategoryValueSleepAnalysisAsleepCore,2025-08-20
2025-08-20 01:36:35-04:00,2025-08-20 01:53:35-04:00,HKCategoryValueSleepAnalysisAsleepDeep,0.2833333333333333,HKCategoryValueSleepAnalysisAsleepDeep,2025-08-20
2025-08-20 01:53:35-04:00,2025-08-20 01:54:05-04:00,HKCategoryValueSleepAnalysisAsleepCore,0.008333333333333333,HKCategoryValueSleepAnalysisAsleepCore,2025-08-20
2025-08-20 01:54:05-04:00,2025-08-20 01:55:05-04:00,HKCategoryValueSleepAnalysisAwake,0.016666666666666666,HKCategoryValueSleepAnalysisAwake,2025-08-20
